candidate_id,group,molecule,expected_present_genes,expected_absent_genes,expected_covered_functions,expected_missing_functions,expected_evidence_grade,rationale
siloxane_template_01,positive_siloxane_template,[Si]O[Si]O[Si],GENE_SI_TEMPLATE,GENE_FE_CATALYSIS;GENE_NI_CATALYSIS;GENE_P_REPAIR,TEMPLATE;POLYMERIZE;SEPARATE,CATALYZE;PROTECT;REPAIR,FUNCTIONAL_CANDIDATE,expected model behavior for repeated siloxane template motif
metal_catalysis_01,positive_metal_catalysis,[Si]O[Fe]O[Si],GENE_FE_CATALYSIS,GENE_NI_CATALYSIS;GENE_P_REPAIR,CATALYZE;POLYMERIZE;SEPARATE,TEMPLATE;PROTECT;REPAIR,FUNCTIONAL_CANDIDATE,expected model behavior for metal oxide catalysis motif
phosphate_repair_01,positive_phosphate_repair,[Si]O[Si]OP(=O)(O)O[Si],GENE_SI_TEMPLATE;GENE_P_REPAIR,GENE_FE_CATALYSIS;GENE_NI_CATALYSIS,TEMPLATE;POLYMERIZE;REPAIR;SEPARATE,CATALYZE;PROTECT,FUNCTIONAL_CANDIDATE,expected model behavior for phosphate repair bridge motif
ring_protection_01,positive_ring_protection,[Si]1O[Si]O1,GENE_SILOXANE_SHELL,GENE_FE_CATALYSIS;GENE_NI_CATALYSIS;GENE_P_REPAIR,PROTECT;POLYMERIZE;SEPARATE,TEMPLATE;CATALYZE;REPAIR,FUNCTIONAL_CANDIDATE,expected model behavior for ring protection topology
fragment_separation_01,positive_fragment_separation,[Si]O[Si].[Si]O,GENE_LABILE_SEPARATION,GENE_FE_CATALYSIS;GENE_NI_CATALYSIS;GENE_P_REPAIR,SEPARATE;TEMPLATE;POLYMERIZE,CATALYZE;PROTECT;REPAIR,FUNCTIONAL_CANDIDATE,expected model behavior for fragmented separation signal
combined_proto_genome_01,combined_minimal_proto_genome,[Si]O[Si]O[Fe]OP(=O)(O)O[Si],GENE_SI_TEMPLATE;GENE_FE_CATALYSIS;GENE_P_REPAIR,GENE_NI_CATALYSIS,TEMPLATE;POLYMERIZE;CATALYZE;SEPARATE;REPAIR,PROTECT,LINEAGE_RETAINED,expected model behavior for combined template catalysis repair and separation motifs
negative_no_silicon_01,negative_no_silicon,O[Fe]O,GENE_FE_CATALYSIS,GENE_SI_TEMPLATE;GENE_P_REPAIR,CATALYZE;SEPARATE,TEMPLATE;POLYMERIZE;PROTECT;REPAIR,MOTIF_HIT,expected model behavior has metal hit but no silicon template
negative_no_metal_01,negative_no_metal,[Si]O[Si]O[Si],GENE_SI_TEMPLATE,GENE_FE_CATALYSIS;GENE_NI_CATALYSIS,TEMPLATE;POLYMERIZE;SEPARATE,CATALYZE;PROTECT;REPAIR,FUNCTIONAL_CANDIDATE,expected model behavior lacks metal catalysis
negative_no_phosphate_01,negative_no_phosphate,[Si]O[Si]O[Fe]O[Si],GENE_SI_TEMPLATE;GENE_FE_CATALYSIS,GENE_P_REPAIR,TEMPLATE;POLYMERIZE;CATALYZE;SEPARATE,PROTECT;REPAIR,FUNCTIONAL_CANDIDATE,expected model behavior lacks phosphate repair
decoy_wrong_topology_01,decoy_wrong_topology,CCO,,GENE_SI_TEMPLATE;GENE_FE_CATALYSIS;GENE_NI_CATALYSIS;GENE_P_REPAIR;GENE_SILOXANE_SHELL,NONE,TEMPLATE;POLYMERIZE;CATALYZE;SEPARATE;PROTECT;REPAIR,NONE,expected model behavior for organic decoy outside target motifs
symbolic_only_01,invalid_or_symbolic_only,Si-O-Si,GENE_SI_TEMPLATE,GENE_FE_CATALYSIS;GENE_NI_CATALYSIS;GENE_P_REPAIR,TEMPLATE,UNKNOWN,MOTIF_HIT,expected symbolic model behavior only and not a wet lab claim
